modis_sst,modis_chlora,salinity,bathymetry_m,latitude,longitude,depth,aragonite,latitude,longitude
27.897499084472656,,35.784,2250.0,8.0,-21.0,7.0,4.837976210654366,8.0,-21.0
,,36.026,5326.0,41.5,-18.66,7.8247,4.972375913075713,41.5,-18.66
,,34.219,39.0,52.583,2.5,10.0,3.694705332364833,52.583,2.5
,,32.547,4734.0,50.171,-150.14,1.0,3.8152709504633897,50.171,-150.14
4.194999694824219,,33.1116,5530.0,49.9965,164.9817,0.0,2.569129855312777,49.9965,164.9817
,,34.212,5658.0,39.5,155.0,10.0,4.375240942684325,39.5,155.0
,,32.789,5477.0,47.003,178.31,10.0,3.677471744490192,47.003,178.31
16.709999084472656,,33.595,1669.0,31.02,-118.12,6.0,3.902539337103036,31.02,-118.12
9.755000114440918,,32.839,4137.0,53.261,-148.05,3.0,2.476871184561184,53.261,-148.05
21.05666732788086,,34.704,291.0,29.743,130.28,10.0,4.846070786908839,29.743,130.28
,,35.813,4202.0,44.0,-18.0,8.3857,4.857716358796927,44.0,-18.0
,,33.14,90.0,57.5,6.0011,5.0,4.059549310207455,57.5,6.0011
,,34.788,3742.0,-32.503,-100.0,10.0,4.597626600055339,-32.503,-100.0
22.017499923706055,,35.885,2626.0,-23.999,5.0978,7.0,4.766388877196453,-23.999,5.0978
28.8487491607666,,35.1471,12.0,33.0042,-79.1847,3.0,4.559178898657589,33.0042,-79.1847
0.3149999976158142,,34.005,3602.0,-56.005,0.00883,8.5,2.822088427228381,-56.005,0.00883
,,35.882,4731.0,39.001,-20.001,4.9621,5.153952346492619,39.001,-20.001
,,36.99,4907.0,-24.0,-24.883,6.0,5.387597982266031,-24.0,-24.883
30.0049991607666,,34.823,4411.0,20.502,149.33,10.0,4.648618514145851,20.502,149.33
-0.3424999713897705,,30.8603,90.0,57.89,-171.52,3.0,5.719681653979995,57.89,-171.52
,,33.765,26.0,53.203,3.5012,10.0,4.04983373147336,53.203,3.5012
8.731666564941406,,29.3224,245.0,48.63,-123.24,6.0,0.5950365701713578,48.63,-123.24
,,32.95,5532.0,50.03,165.0,4.0,2.8145840429444675,50.03,165.0
19.767499923706055,,34.971,5820.0,30.0,155.87,3.0,4.7675993676787485,30.0,155.87
21.991249084472656,,34.667,1136.0,29.294,130.05,10.0,4.973287037034459,29.294,130.05
,,35.749,2648.0,41.501,-20.0,3.9688,4.850088963047708,41.501,-20.0
29.878332138061523,,34.248,4779.0,4.9628,164.99,0.0,4.522751464768156,4.9628,164.99
27.542999267578125,,24.4962,205.0,7.0808,-53.22,5.0,3.018971105676264,7.0808,-53.22
,,31.7418,75.0,57.68,-169.43,3.0,2.1371779165456544,57.68,-169.43
,,33.302,44.0,55.0,6.5,10.0,3.808700501494308,55.0,6.5
,,34.47,31.0,53.783,0.48333,10.0,4.011603100525578,53.783,0.48333
22.56333351135254,,34.903,3297.0,23.993,130.99,0.0,4.906794336632483,23.993,130.99
,,34.038,2923.0,55.624,-53.645,2.0,4.698254705488892,55.624,-53.645
,,33.732,3852.0,-58.903,-63.647,5.4,3.1987812854081823,-58.903,-63.647
10.559999465942385,,33.063,4902.0,46.0,158.3,0.0,4.049547995135405,46.0,158.3
,,31.3895,95.0,59.5948,-170.9217,9.0,2.256392066268962,59.5948,-170.9217
4.215000152587891,,33.733,3938.0,-57.348,139.88,5.0,3.2618311629372876,-57.348,139.88
,,34.104,3691.0,-50.675,143.41,9.0,3.5673396796039603,-50.675,143.41
28.38666534423828,,35.6736,23.0,32.8688,-79.0303,5.0,4.654901878440824,32.8688,-79.0303
27.22833251953125,,30.143,127.0,7.0084,-53.416,4.0,4.209140034269301,7.0084,-53.416
8.014999389648438,,30.315,2.0,53.2288,-9.0595,3.0,2.8749294078513272,53.2288,-9.0595
10.494999885559082,,35.0434,3579.0,53.266740000000006,-24.9529,6.0,4.4589711110828025,53.266740000000006,-24.9529
,,34.324,38.0,56.0,6.5018,5.0,3.738010549214139,56.0,6.5018
,,34.656,5825.0,35.01,147.5,10.0,5.005980597323017,35.01,147.5
14.048333168029783,,35.551,4426.0,49.004,-20.002,2.0,5.3005934171076055,49.004,-20.002
2.865000009536743,,33.884,4912.0,-56.058,84.261,7.0,3.094736041377904,-56.058,84.261
,,34.643,1161.0,37.52,142.49,8.0,5.073931861630519,37.52,142.49
9.601666450500488,,32.39,4256.0,50.0,-145.0,5.0,3.448328017696063,50.0,-145.0
,,32.91,22.0,53.833,6.5011,5.0,3.595553080899083,53.833,6.5011
,,34.5171,5741.0,39.9927,168.3647,10.0,4.435617339424069,39.9927,168.3647
24.092498779296875,,36.052,38.0,19.0,-16.56,6.0,4.442636646661032,19.0,-16.56
,,35.899,3799.0,41.0,-20.66,4.8012,5.030540269231732,41.0,-20.66
,,34.668,31.0,53.797,2.7538,10.0,3.700479480169045,53.797,2.7538
27.00833320617676,,35.458,4103.0,3.4995,-25.251,2.0,4.933346301735383,3.4995,-25.251
17.987499237060547,,34.89,6280.0,34.002,148.56,10.0,4.765232757060065,34.002,148.56
10.863332748413086,,35.364,94.0,56.138,-8.0797,10.0,4.459146468850619,56.138,-8.0797
,,33.977,3591.0,-51.54,143.0,4.0,3.4246589248413395,-51.54,143.0
,,31.4714,41.0,59.45,-167.81,10.0,1.8709406588959088,59.45,-167.81
13.460000038146973,,32.822,92.0,57.925,4.865,2.0,3.8883480185107167,57.925,4.865
,,35.735,4849.0,43.999,-18.667,7.5047,4.619413945423204,43.999,-18.667
22.924999237060547,,34.896,591.0,26.99,127.5,0.0,4.8309927375481685,26.99,127.5
,,33.722,5259.0,42.5,155.0,10.0,4.564675022810819,42.5,155.0
,,34.492,42.0,53.8,4.0007,4.728,3.601646334047767,53.8,4.0007
12.321999549865724,,32.771,5791.0,42.017,146.2,0.0,4.18028629098233,42.017,146.2
13.469999313354492,,32.815,6192.0,46.99,168.38,10.0,3.3992470574257334,46.99,168.38
20.6299991607666,,34.688,5972.0,35.488,148.43,9.0,4.974793460430078,35.488,148.43
4.414999961853027,,31.3978,48.0,59.91,-172.42,3.0,4.175995434095578,59.91,-172.42
10.554999351501465,,30.806,245.0,48.63,-123.24,2.0,0.8400669141594171,48.63,-123.24
,,34.492,3794.0,-0.0083,146.15,10.0,4.687240312040501,-0.0083,146.15
13.158332824707031,,33.559,1015.0,34.21,-121.02,5.0,3.8893539433155224,34.21,-121.02
16.822498321533203,,33.522,4326.0,30.0,-125.68,2.0,3.584459605231597,30.0,-125.68
,,34.818,4514.0,42.502,-46.563,10.0,4.881394810533365,42.502,-46.563
7.96999979019165,,32.4376,4256.0,50.0003,-144.999,10.0,2.7120998713078723,50.0003,-144.999
,,33.522,4883.0,33.003,-135.0,1.0,3.786998487617224,33.003,-135.0
,,34.297,42.0,54.4,5.2333,5.0,3.7087501620817744,54.4,5.2333
2.9024999141693115,,33.8675,5111.0,-57.2165,55.5509,9.0,3.0113217557087157,-57.2165,55.5509
23.78499984741211,,36.304,3859.0,18.0,-26.0,7.0,5.029935995163065,18.0,-26.0
18.770000457763672,,34.691,6166.0,34.489,149.03,9.0,5.0875936897804435,34.489,149.03
8.544166564941406,,34.806,60.0,51.9513,-6.94683,4.0,3.3791785399480756,51.9513,-6.94683
1.2400000095367432,,33.861,1824.0,-59.325,81.639,10.0,3.1662410922145816,-59.325,81.639
,,34.362,26.0,53.2,3.5037,5.186,4.731754862975553,53.2,3.5037
,,34.85,3081.0,59.492,-37.678,5.0,4.023364709529804,59.492,-37.678
12.920000076293944,,32.816,5678.0,46.989,-172.7,10.0,3.19551692882359,46.989,-172.7
,,35.794,5326.0,41.502,-18.666,4.961,4.658721893494271,41.502,-18.666
29.08099937438965,,34.42,4758.0,20.009,137.0,9.0,4.445705680192202,20.009,137.0
18.135000228881836,,18.845,261.0,49.73,-124.68,2.0,3.691951185505714,49.73,-124.68
17.822999954223633,,29.9425,54.0,41.20626,-72.22297,3.0,2.20412849091681,41.20626,-72.22297
3.7319998741149902,,33.706,3781.0,-48.001,0.001,9.0,3.452976969671265,-48.001,0.001
7.639999866485596,,33.203,5964.0,45.041,165.02,0.0,3.072738250802631,45.041,165.02
16.709999084472656,,33.595,1669.0,31.02,-118.12,10.0,3.912881755840936,31.02,-118.12
18.135000228881836,,26.977,261.0,49.73,-124.68,10.0,1.4799698156529002,49.73,-124.68
27.176666259765625,,35.73,4734.0,17.072,-66.472,3.0,5.019992552336334,17.072,-66.472
,,36.127,4788.0,39.496,-19.996,5.8007,5.010955837832906,39.496,-19.996
12.232500076293944,,35.574,4097.0,49.529,-22.017,8.0,4.755792958674532,49.529,-22.017
